Exposure Amount ($);Credit Score;Loan Term (Months);Interest Rate (%);Income ($);Loan to Value Ratio (%);Debt to Income Ratio (%);Employment History (Years);Previous Defaults;Home Ownership;Loan Purpose;Loan Type;Region;LGD%
104635;680;36;4,09;19068;66;25;2;2;Own;Home Improvement;Adjustable Rate;East;0,009996655
152597;708;48;6,37;75098;70;35;9;1;Rent;Auto Loan;Fixed Rate;South;0,525842579
186455;645;60;4,25;77225;76;40;6;1;Rent;Auto Loan;Adjustable Rate;West;0,318618433
156449;737;24;6,45;59129;75;24;4;1;Own;Home Improvement;Fixed Rate;North;0,009996868
206970;644;72;6,35;52289;71;24;2;2;Own;Home Improvement;Adjustable Rate;South;0,010001449
88259;733;60;6,4;36758;74;31;5;0;Rent;Home Purchase;Adjustable Rate;North;0,010004645
170117;726;36;6,56;41450;90;41;3;2;Rent;Personal Loan;Adjustable Rate;North;0,37046856
115759;630;24;6,61;100479;76;38;4;0;Rent;Personal Loan;Fixed Rate;West;0,010003542
106460;689;24;6,97;94393;78;28;4;1;Rent;Auto Loan;Fixed Rate;West;0,159637423
121058;684;72;7,43;36141;95;36;1;2;Mortgage;Debt Consolidation;Adjustable Rate;South;0,445323729
134422;647;24;3,92;67924;93;21;4;0;Rent;Debt Consolidation;Fixed Rate;West;0,009998363
152808;703;48;7,79;59058;103;29;3;2;Rent;Home Purchase;Adjustable Rate;South;0,623023664
91743;683;24;7,51;40932;88;42;8;0;Own;Debt Consolidation;Fixed Rate;West;0,009995313
195041;712;72;8,43;41964;90;28;5;1;Rent;Home Improvement;Adjustable Rate;East;0,658876852
173283;713;24;3,72;100401;73;20;5;1;Own;Home Improvement;Fixed Rate;North;0,071541929
73188;646;36;7,13;67035;69;22;5;2;Rent;Debt Consolidation;Adjustable Rate;North;0,01000164
224413;706;48;4,47;14850;73;27;8;0;Mortgage;Personal Loan;Fixed Rate;West;0,009999421
244794;783;60;4,51;30033;75;12;2;1;Mortgage;Home Improvement;Fixed Rate;South;0,010000245
208939;743;24;9,08;50365;88;33;9;0;Mortgage;Home Purchase;Fixed Rate;North;0,567811658
141004;679;60;7,22;44026;94;31;3;1;Rent;Home Improvement;Fixed Rate;South;0,191462654
96462;700;36;5,48;51218;92;15;6;2;Mortgage;Debt Consolidation;Fixed Rate;South;0,010003939
202723;687;36;8,35;49803;62;18;4;2;Rent;Home Purchase;Adjustable Rate;North;0,009998865
129841;585;48;4,06;70784;82;34;4;0;Own;Home Purchase;Adjustable Rate;East;0,009996842
211122;692;60;8,46;60692;73;43;5;0;Rent;Auto Loan;Adjustable Rate;East;0,410246208
160414;640;72;6,71;72703;77;35;3;2;Rent;Debt Consolidation;Adjustable Rate;West;0,335818569
198832;702;60;8,54;49748;87;32;5;1;Own;Personal Loan;Adjustable Rate;North;0,725889193
167818;689;60;4,61;47368;62;60;6;2;Own;Auto Loan;Adjustable Rate;North;0,490972363
185329;641;60;6,45;89137;86;28;4;1;Own;Home Purchase;Adjustable Rate;West;0,456123974
150525;659;60;7,27;71714;80;26;3;0;Own;Debt Consolidation;Fixed Rate;East;0,009998339
239294;671;60;6,95;56611;92;13;7;0;Mortgage;Home Purchase;Fixed Rate;North;0,066637693
156346;574;24;5,07;51733;86;32;3;2;Rent;Personal Loan;Fixed Rate;East;0,009997058
170099;747;48;5,56;76598;66;30;6;0;Rent;Auto Loan;Adjustable Rate;North;0,333758576
244158;755;60;6,08;47623;88;31;5;0;Rent;Home Improvement;Adjustable Rate;East;0,558023903
82612;691;60;9,65;61776;72;35;7;2;Mortgage;Personal Loan;Adjustable Rate;West;0,685299956
86476;712;36;6,14;90659;83;27;6;2;Mortgage;Auto Loan;Adjustable Rate;East;0,668809843
198470;617;60;6,61;70618;73;31;8;0;Rent;Personal Loan;Adjustable Rate;West;0,010001512
91344;674;60;6,75;81054;63;39;3;1;Own;Home Improvement;Adjustable Rate;South;0,216861534
247181;689;48;5,8;75094;93;15;5;1;Rent;Debt Consolidation;Adjustable Rate;South;0,334807287
129319;601;72;6,52;41460;82;27;5;0;Rent;Debt Consolidation;Adjustable Rate;North;0,009998531
112627;682;36;4,77;92803;72;33;5;2;Own;Auto Loan;Fixed Rate;North;0,333392526
246147;641;48;4,83;67396;79;25;6;1;Rent;Personal Loan;Adjustable Rate;East;0,009998091
224026;693;36;7,69;60325;94;23;6;0;Mortgage;Auto Loan;Adjustable Rate;South;0,048530081
243378;651;24;7,16;76508;97;22;6;2;Mortgage;Debt Consolidation;Adjustable Rate;East;0,229108629
195302;711;48;6,38;83944;63;18;3;0;Own;Debt Consolidation;Fixed Rate;South;0,009999898
106939;710;24;8,56;28134;79;32;3;2;Rent;Auto Loan;Fixed Rate;North;0,009996353
245503;701;60;6,28;63606;62;18;7;2;Mortgage;Auto Loan;Fixed Rate;South;0,265642375
136600;611;48;6,79;54509;92;46;6;2;Own;Auto Loan;Fixed Rate;South;0,364267936
190123;651;36;6,81;68446;105;29;6;0;Mortgage;Home Improvement;Adjustable Rate;West;0,17922082
197363;747;24;9,06;62249;78;47;6;2;Rent;Home Improvement;Adjustable Rate;South;0,918054549
142249;654;24;6,36;116529;74;24;4;2;Own;Home Purchase;Adjustable Rate;South;0,208606036
180704;695;60;6,84;29794;75;31;4;2;Own;Auto Loan;Fixed Rate;North;0,124667965
196110;715;36;7,74;38306;98;49;9;0;Mortgage;Home Improvement;Fixed Rate;West;0,656453011
168821;656;48;7,37;90691;92;43;6;2;Rent;Debt Consolidation;Adjustable Rate;North;1
95030;720;36;3,37;40400;66;29;5;2;Own;Personal Loan;Adjustable Rate;North;0,009996843
164912;619;36;6;100731;89;44;3;2;Rent;Auto Loan;Adjustable Rate;North;0,557982439
216319;756;72;6,7;57731;65;31;3;0;Rent;Personal Loan;Adjustable Rate;West;0,434210587
115272;588;48;8,62;73038;93;34;5;2;Own;Personal Loan;Adjustable Rate;South;0,241697897
142518;731;24;7,97;47161;70;36;5;1;Own;Debt Consolidation;Adjustable Rate;East;0,009998737
128242;709;36;8,36;57626;78;54;5;1;Own;Auto Loan;Fixed Rate;East;0,542068901
242463;699;24;4,52;28714;81;17;1;1;Mortgage;Personal Loan;Adjustable Rate;East;0,010001526
183615;719;60;4,8;32220;82;33;2;2;Rent;Home Purchase;Adjustable Rate;West;0,124581325
170373;719;24;4,98;38681;88;40;2;2;Rent;Home Improvement;Fixed Rate;East;0,038386364
111504;615;24;3,85;85977;91;42;2;1;Mortgage;Home Improvement;Adjustable Rate;West;0,009999641
176962;718;60;4,84;56079;83;27;5;0;Rent;Home Purchase;Adjustable Rate;East;0,116228343
116283;715;48;8,82;52491;74;32;5;2;Rent;Personal Loan;Fixed Rate;East;0,462234376
151592;820;48;5,81;75373;86;47;5;0;Rent;Debt Consolidation;Adjustable Rate;West;1
118208;658;72;6,44;64754;83;7;5;1;Own;Home Purchase;Adjustable Rate;East;0,009999323
183822;686;48;5,55;61878;97;37;5;0;Mortgage;Personal Loan;Fixed Rate;East;0,366952813
178830;674;60;6,8;53498;81;20;1;2;Mortgage;Auto Loan;Adjustable Rate;South;0,009998322
139585;774;24;6,14;29334;89;37;3;1;Mortgage;Home Purchase;Fixed Rate;West;0,068768134
169800;690;60;5,07;45758;80;49;3;1;Own;Auto Loan;Fixed Rate;West;0,333863369
95347;637;72;8,04;42696;65;30;6;1;Rent;Auto Loan;Fixed Rate;East;0,009995071
75437;678;60;7,68;35150;78;18;4;0;Rent;Home Purchase;Fixed Rate;West;0,009995095
171970;718;36;4,89;4632;81;39;5;1;Mortgage;Auto Loan;Adjustable Rate;North;0,010001744
158334;724;60;10,37;71336;90;35;5;1;Own;Home Improvement;Fixed Rate;West;1
181752;778;36;6;31896;82;31;7;1;Rent;Home Purchase;Adjustable Rate;North;0,348777455
269157;742;24;7,12;51381;90;42;7;1;Mortgage;Personal Loan;Adjustable Rate;East;0,696511701
197224;680;60;5,8;61224;92;23;7;0;Own;Personal Loan;Fixed Rate;West;0,186944794
104359;667;36;5,82;86829;80;35;2;1;Rent;Home Purchase;Adjustable Rate;South;0,010003929
205851;647;72;4,42;38082;57;32;5;2;Own;Home Purchase;Fixed Rate;West;0,01000238
84205;744;24;5,06;52986;70;21;6;1;Mortgage;Home Improvement;Adjustable Rate;West;0,009999406
126921;662;72;7,68;28609;80;19;6;0;Mortgage;Personal Loan;Adjustable Rate;East;0,009998345
146588;662;24;6,68;51265;89;28;4;1;Own;Auto Loan;Fixed Rate;West;0,010000819
235667;639;36;5,83;60369;85;33;4;1;Rent;Auto Loan;Adjustable Rate;West;0,0100014
112762;757;60;5,65;35956;85;40;3;0;Rent;Personal Loan;Fixed Rate;East;0,237127756
108678;777;60;7,52;103534;83;35;7;2;Own;Auto Loan;Fixed Rate;North;1
145077;670;24;7,07;61971;78;26;8;1;Own;Home Improvement;Adjustable Rate;South;0,010001585
116826;667;72;6,89;47669;79;12;5;1;Mortgage;Home Improvement;Adjustable Rate;East;0,009997774
206332;659;48;5,32;98616;87;23;3;2;Rent;Personal Loan;Fixed Rate;East;0,480100033
96003;730;72;4,79;58390;83;45;6;0;Rent;Auto Loan;Fixed Rate;South;0,698519838
92627;781;48;5,5;37887;78;42;5;2;Rent;Personal Loan;Adjustable Rate;West;0,658134237
128109;682;24;6,12;93176;77;27;6;0;Own;Home Improvement;Adjustable Rate;South;0,009999297
125098;658;60;6,66;62577;76;39;4;2;Own;Home Improvement;Fixed Rate;South;0,426289789
246477;723;72;6,08;98000;84;32;4;0;Mortgage;Personal Loan;Fixed Rate;West;1
197471;747;24;6,11;57113;88;13;5;2;Mortgage;Auto Loan;Adjustable Rate;South;0,098535988
154378;666;36;10,29;37752;81;25;7;1;Rent;Debt Consolidation;Adjustable Rate;West;0,010001425
88728;680;48;7,08;44555;89;28;5;0;Mortgage;Debt Consolidation;Adjustable Rate;South;0,009996844
192218;757;72;7,44;68816;73;25;4;0;Own;Home Improvement;Fixed Rate;West;0,460253462
99989;642;48;6,1;45157;81;42;6;0;Rent;Personal Loan;Adjustable Rate;South;0,0100011
72761;681;48;6,45;52455;73;34;7;2;Mortgage;Auto Loan;Fixed Rate;North;0,096535232
209401;757;48;6,16;30003;89;22;3;1;Mortgage;Personal Loan;Fixed Rate;West;0,132625919
165847;707;36;6,14;86202;79;34;3;1;Own;Home Improvement;Adjustable Rate;West;0,386271684
196043;698;72;6,46;69116;84;45;2;0;Rent;Personal Loan;Fixed Rate;West;0,669133812
165936;765;24;4,38;58479;82;31;8;0;Mortgage;Debt Consolidation;Adjustable Rate;South;0,176652444
192842;662;24;7,94;21679;68;34;10;0;Mortgage;Home Improvement;Fixed Rate;South;0,009997822
117449;688;24;6,96;85897;79;36;9;0;Rent;Debt Consolidation;Adjustable Rate;North;0,292739827
98288;661;48;6,02;57037;83;29;6;0;Own;Auto Loan;Adjustable Rate;West;0,010001221
184080;722;72;6,99;74557;81;41;6;1;Mortgage;Debt Consolidation;Fixed Rate;East;1
109830;747;48;8,08;60269;88;42;7;1;Own;Home Purchase;Adjustable Rate;North;0,974706364
115523;674;60;5,05;58774;77;40;7;0;Own;Debt Consolidation;Adjustable Rate;North;0,142101573
127223;746;72;7,11;53085;98;36;8;1;Mortgage;Personal Loan;Fixed Rate;South;1
150874;595;36;6,61;29450;69;16;5;0;Own;Home Improvement;Adjustable Rate;South;0,010001723
132300;689;72;3,64;81446;84;0;10;0;Rent;Personal Loan;Fixed Rate;East;0,09452003
81252;705;24;9;54362;82;35;4;2;Rent;Home Improvement;Adjustable Rate;East;0,179995569
117819;726;24;4,75;38453;68;33;5;0;Mortgage;Debt Consolidation;Adjustable Rate;West;0,009998387
38830;729;36;4,24;64724;71;40;5;0;Own;Debt Consolidation;Adjustable Rate;East;0,009992274
181262;718;60;7,41;74693;76;32;1;2;Rent;Auto Loan;Adjustable Rate;East;0,664027761
69897;745;48;6,36;70059;71;37;5;1;Own;Home Improvement;Adjustable Rate;West;0,47498462
94781;737;48;6,21;48485;66;13;6;2;Own;Home Purchase;Fixed Rate;North;0,010002005
152608;668;72;8,18;43557;85;32;3;0;Mortgage;Auto Loan;Fixed Rate;West;0,031040312
113022;690;24;7,65;68303;107;44;6;1;Own;Personal Loan;Adjustable Rate;East;0,72104546
227151;764;24;10,32;92687;85;32;6;1;Mortgage;Debt Consolidation;Adjustable Rate;East;1
85357;701;36;5,29;54665;76;37;7;1;Mortgage;Home Purchase;Adjustable Rate;North;0,039399229
163353;696;24;5,82;70052;97;23;2;2;Mortgage;Debt Consolidation;Adjustable Rate;West;0,120805862
148036;797;36;9,86;59311;71;41;2;0;Own;Auto Loan;Fixed Rate;West;0,641789835
91595;709;24;5,32;103398;92;28;9;1;Rent;Auto Loan;Adjustable Rate;South;0,698684426
176164;763;36;4,46;76240;82;25;6;0;Own;Auto Loan;Fixed Rate;South;0,274783724
141423;735;48;5,41;75945;92;34;5;0;Own;Debt Consolidation;Fixed Rate;North;0,612403923
188590;711;60;6;55721;77;31;2;1;Mortgage;Personal Loan;Fixed Rate;South;0,087374728
191175;686;24;6,48;68120;96;31;9;0;Rent;Home Improvement;Adjustable Rate;East;0,248290833
258162;712;48;5,91;57172;81;13;7;1;Mortgage;Debt Consolidation;Fixed Rate;East;0,010001472
216826;669;48;6,85;89688;68;23;4;2;Mortgage;Home Improvement;Adjustable Rate;North;0,363535738
131541;702;72;7,75;49133;89;51;3;2;Own;Debt Consolidation;Fixed Rate;East;1
138031;689;60;4,89;60917;74;27;6;0;Rent;Debt Consolidation;Fixed Rate;East;0,009997754
204983;687;60;3,88;57617;62;15;3;1;Rent;Home Purchase;Adjustable Rate;West;0,010000829
182763;659;36;7,71;92208;82;10;6;0;Mortgage;Personal Loan;Fixed Rate;North;0,010002024
182007;774;24;7,02;61357;79;19;7;2;Mortgage;Personal Loan;Fixed Rate;North;0,545369134
69152;718;72;9,52;58511;82;38;5;1;Mortgage;Debt Consolidation;Adjustable Rate;West;0,88160863
148784;689;24;5,43;83444;58;45;3;0;Own;Personal Loan;Adjustable Rate;North;0,010001075
113098;666;36;6,52;52305;59;45;6;2;Own;Personal Loan;Adjustable Rate;South;0,010000177
163996;655;36;5,96;91500;69;37;6;2;Own;Home Purchase;Adjustable Rate;West;0,358331911
145092;693;72;6,95;88509;68;39;7;0;Rent;Personal Loan;Adjustable Rate;East;0,734754501
195509;695;72;3,4;48853;90;32;7;1;Own;Home Improvement;Adjustable Rate;North;0,463518304
165861;668;24;5,63;88471;85;29;5;2;Mortgage;Personal Loan;Fixed Rate;West;0,246905541
189316;610;72;4,65;77598;81;13;5;1;Rent;Debt Consolidation;Fixed Rate;West;0,009999155
126679;707;72;7,75;88495;75;33;2;0;Own;Home Purchase;Fixed Rate;North;0,545117975
102778;755;72;4,47;60528;79;24;4;2;Own;Personal Loan;Fixed Rate;East;0,592694935
129498;706;36;9,89;29490;70;25;6;0;Mortgage;Home Improvement;Fixed Rate;North;0,010000154
149149;629;48;7,6;75837;70;28;3;0;Mortgage;Home Purchase;Adjustable Rate;East;0,009996715
168958;656;24;8,77;58079;73;25;7;1;Mortgage;Home Purchase;Adjustable Rate;North;0,010002486
262965;681;72;5,98;53816;59;38;5;0;Rent;Home Improvement;Adjustable Rate;East;0,131021239
147887;731;24;8,28;47449;67;28;8;1;Mortgage;Auto Loan;Adjustable Rate;North;0,039631611
102203;715;72;6,81;58866;84;44;5;2;Mortgage;Home Improvement;Fixed Rate;West;1
132701;684;72;8,67;30553;84;38;6;1;Mortgage;Personal Loan;Fixed Rate;East;0,422664486
126820;715;36;6,19;45372;102;8;4;2;Rent;Debt Consolidation;Fixed Rate;South;0,009998423
174074;647;24;8,4;42218;69;44;6;0;Mortgage;Debt Consolidation;Fixed Rate;South;0,010001494
72960;735;24;4,66;117750;89;41;3;0;Own;Debt Consolidation;Fixed Rate;East;0,673286732
153163;691;60;4,38;77957;81;27;4;2;Rent;Debt Consolidation;Adjustable Rate;West;0,370755339
157825;756;48;6,79;82206;76;23;8;1;Rent;Auto Loan;Adjustable Rate;East;0,717167749
161609;704;60;5,79;83255;84;38;8;0;Rent;Debt Consolidation;Fixed Rate;South;0,749153822
120134;729;60;7,4;68367;75;19;5;2;Own;Auto Loan;Adjustable Rate;East;0,524655801
138104;648;24;5,17;70512;87;25;7;0;Rent;Home Improvement;Fixed Rate;South;0,00999971
78797;696;72;6,15;48550;88;25;6;1;Rent;Auto Loan;Fixed Rate;East;0,21961496
125334;799;24;5,29;75356;73;17;10;2;Own;Personal Loan;Adjustable Rate;South;0,67305759
122857;633;48;6,67;52074;83;17;4;0;Rent;Personal Loan;Adjustable Rate;North;0,0100035
170803;671;24;4,48;45451;84;19;4;0;Mortgage;Home Improvement;Adjustable Rate;South;0,009999824
92191;806;36;4,9;62131;75;40;7;0;Mortgage;Personal Loan;Adjustable Rate;South;0,581933161
189060;656;60;7,71;42453;78;25;3;2;Rent;Home Improvement;Adjustable Rate;East;0,010002116
224724;670;72;6,58;41033;69;25;2;0;Rent;Home Improvement;Adjustable Rate;North;0,009998932
46501;765;72;8,85;47028;80;23;3;0;Own;Home Improvement;Fixed Rate;East;0,321197394
171313;729;48;4,84;79631;88;35;6;1;Rent;Home Improvement;Fixed Rate;South;0,713536042
183845;733;24;6,58;80544;85;38;5;0;Mortgage;Home Purchase;Adjustable Rate;West;0,498425304
118128;822;60;3,88;55345;72;28;0;1;Mortgage;Home Improvement;Adjustable Rate;East;0,427468509
130136;704;72;6,55;44432;72;35;5;2;Own;Debt Consolidation;Fixed Rate;South;0,354728899
143356;729;36;5,48;18784;83;10;4;0;Own;Home Purchase;Adjustable Rate;East;0,010003069
135110;721;24;10,03;47282;62;20;7;2;Mortgage;Personal Loan;Fixed Rate;East;0,00999926
134549;682;48;7,49;49043;73;33;6;0;Own;Debt Consolidation;Adjustable Rate;South;0,009996358
66200;777;60;5,57;68100;80;14;5;1;Mortgage;Auto Loan;Adjustable Rate;South;0,405513595
207617;723;72;6,76;80116;53;24;6;0;Own;Home Improvement;Fixed Rate;East;0,283849588
203981;717;24;6,06;90638;87;36;5;2;Mortgage;Home Purchase;Fixed Rate;South;0,849883077
109332;567;24;5,2;66647;79;31;6;0;Own;Debt Consolidation;Fixed Rate;North;0,009997073
76679;704;48;6,65;85264;77;40;3;1;Own;Personal Loan;Fixed Rate;West;0,549029069
176053;671;24;4,91;69654;69;21;6;0;Mortgage;Home Purchase;Adjustable Rate;West;0,01000267
121211;694;24;5,93;51736;89;35;2;2;Own;Home Purchase;Adjustable Rate;East;0,009999092
157098;712;36;7,69;68692;75;23;8;2;Own;Home Improvement;Adjustable Rate;West;0,428127666
134034;725;60;7,29;59105;82;23;7;0;Own;Home Purchase;Fixed Rate;West;0,255159139
184577;725;36;4,45;55568;76;45;4;1;Own;Home Purchase;Fixed Rate;North;0,214517518
184737;785;48;6,05;79736;73;39;6;2;Mortgage;Auto Loan;Fixed Rate;South;1
113720;670;36;5,46;54791;106;36;2;0;Rent;Auto Loan;Fixed Rate;South;0,009998241
80832;712;24;6,6;45855;80;31;4;1;Rent;Auto Loan;Fixed Rate;West;0,009996041
70853;751;24;10,54;69528;71;32;5;2;Rent;Auto Loan;Adjustable Rate;North;0,606819754
180519;712;72;6,1;50785;98;29;8;2;Rent;Auto Loan;Fixed Rate;East;1
90557;744;36;7,13;54175;80;24;2;1;Rent;Debt Consolidation;Fixed Rate;South;0,010004748
124659;610;48;4,82;90738;70;47;7;2;Mortgage;Auto Loan;Adjustable Rate;South;0,380357616
120184;663;24;6,49;43037;93;17;7;0;Own;Debt Consolidation;Fixed Rate;South;0,010001331
147372;788;72;6,1;55025;82;34;2;1;Rent;Auto Loan;Fixed Rate;North;0,804772956
53186;721;60;8,6;82321;70;38;7;1;Own;Debt Consolidation;Fixed Rate;West;0,862614222
159439;698;72;6,69;97872;82;30;8;1;Mortgage;Home Purchase;Fixed Rate;East;1
176195;693;60;7,55;71547;77;29;4;1;Rent;Debt Consolidation;Adjustable Rate;North;0,413161554
154421;689;72;6,28;36530;88;35;5;0;Own;Home Improvement;Fixed Rate;West;0,129056281
134456;788;60;8,24;97240;64;22;7;1;Mortgage;Home Purchase;Fixed Rate;North;1
154870;785;24;4,56;40232;85;31;6;2;Own;Home Improvement;Fixed Rate;West;0,392955382
169952;723;60;6,3;56784;70;39;4;1;Rent;Personal Loan;Adjustable Rate;South;0,467414329
11370;778;60;2,85;45141;80;23;3;2;Mortgage;Home Purchase;Fixed Rate;East;0,144766931
247796;734;36;5,68;93677;72;32;11;0;Rent;Home Purchase;Fixed Rate;East;0,776481461
169505;712;72;6,92;69911;77;57;6;1;Rent;Home Improvement;Fixed Rate;West;1
117380;752;24;5,52;64356;86;19;6;2;Rent;Home Improvement;Adjustable Rate;North;0,318606236
